model,seed,epoch,lr,train_opt_loss_z,train_global_mse_z,train_airfoil_mse_z,val_opt_loss_z,val_global_mse_z,val_airfoil_mse_z
full_bagnn,0,1,0.0001,0.35068707344933064,0.36367062777294684,0.2662637946702838,0.21001615194161646,0.22454315339201,0.11559127429039516
full_bagnn,0,2,0.0001,0.2122270142388834,0.22202941540380058,0.14847962001623816,0.1624820791261259,0.1732275793328273,0.09264436939341784
full_bagnn,0,3,0.0001,0.18271619593279026,0.19205007392013168,0.12201365735124384,0.13594937484574082,0.14540420712172822,0.07446863158094807
full_bagnn,0,4,0.0001,0.1616851696616722,0.17050001938539863,0.10435686905879209,0.1261413903803662,0.1349444970863807,0.06889858463383786
full_bagnn,0,5,0.0001,0.14788569007528568,0.1561921549128528,0.09386430271295056,0.11188826620382213,0.11968914950396815,0.06115472357502388
full_bagnn,0,6,0.0001,0.13655923800310218,0.1445815960437122,0.0843842835964553,0.10630148162348997,0.11377719173384257,0.05768878470672231
full_bagnn,0,7,0.0001,0.1278713528822113,0.13535859287642413,0.0791771719931394,0.11025439346518874,0.11756198238681101,0.06271351236884133
full_bagnn,0,8,0.0001,0.1214288990057504,0.1285784472888167,0.07492981926638803,0.10396261115412804,0.11174697252006657,0.05334963974913696
full_bagnn,0,9,0.0001,0.11549356598567545,0.12237956365318654,0.07070967447351836,0.09693100117406214,0.1032150665380805,0.056038806529030184
full_bagnn,0,10,0.0001,0.11056644555010746,0.11708989917893745,0.06814047642061742,0.09456796328234292,0.10137828672139289,0.050269858265034086
full_bagnn,0,11,0.0001,0.10670976775952734,0.11292813279373423,0.06626825700161046,0.09517370069432268,0.10211078245690698,0.050056663572747656
full_bagnn,0,12,0.0001,0.10512159269787454,0.1112354637449214,0.06535869135799485,0.09286524252034792,0.09697735689591333,0.06609722782378
full_bagnn,0,13,0.0001,0.10101711352341673,0.10690613013603328,0.0627169604317209,0.08130735839723609,0.08619245875660796,0.049524991613558514
full_bagnn,0,14,0.0001,0.09900064803972633,0.1047334389492955,0.06171556144694086,0.0784659249506843,0.08341845635630891,0.04625030872804522
full_bagnn,0,15,0.0001,0.09617506470289325,0.1018911794944513,0.05899884786174047,0.07984828526072738,0.08493816092185062,0.04672493785611562
full_bagnn,0,16,0.0001,0.0940493460534303,0.0995015901404588,0.05858915969793966,0.08185754811658486,0.08749020161141843,0.045210593388524095
full_bagnn,0,17,0.0001,0.09092005576345148,0.09613970191088371,0.056972589254126814,0.07498778969688749,0.0793947710715019,0.046313527237949244
full_bagnn,0,18,0.0001,0.08926664227119697,0.09440826996994121,0.05582649119424485,0.07295787523370316,0.07714954962209049,0.04567289706902964
full_bagnn,0,19,0.0001,0.08758065571172076,0.0926092617898962,0.0548759978076467,0.07132817020157207,0.07504162759516048,0.04716783463475869
full_bagnn,0,20,0.0001,0.0868364578663466,0.0918429382230133,0.054275297040186535,0.07345844112117074,0.07788853478856463,0.044637559386304086
full_bagnn,0,21,0.0001,0.08473516207559222,0.0895434419696008,0.05346105147081677,0.07073252210086323,0.07493713506703036,0.04336671902416203
full_bagnn,0,22,0.0001,0.08348134802974656,0.08821358627050507,0.05270276806217441,0.07632043363819233,0.08036740098832457,0.04999475836728929
full_bagnn,0,23,0.0001,0.08287647429965707,0.08760746960291298,0.05210631610733263,0.07591537575012153,0.08117542114413946,0.04169082746819389
full_bagnn,0,24,0.0001,0.0815847328299892,0.08626126280493206,0.05116996622887102,0.08567868970737902,0.09138987490396246,0.048518935856594184
full_bagnn,0,25,0.0001,0.08064041938543193,0.085259020806497,0.050601922501258424,0.07052726492350474,0.07536025909768629,0.03909576998915724
full_bagnn,0,26,0.0001,0.07979595823356796,0.08435952337426862,0.05011611518851094,0.07204938279808613,0.07627839598195182,0.0445273407543604
full_bagnn,0,27,0.0001,0.07804036653100394,0.08243641683746171,0.049447376972570754,0.074529197773873,0.07982863308149206,0.04004286856189839
full_bagnn,0,28,0.0001,0.07746324209285657,0.08195109856451797,0.048274844929722095,0.062275512734428676,0.06608999842718642,0.03745520691107683
full_bagnn,0,29,0.0001,0.07752249940753393,0.08201258118161785,0.04832080603441468,0.06704990629249445,0.07150297063390151,0.03807940199656556
full_bagnn,0,30,0.0001,0.07563233257177085,0.07998016409184955,0.047354307567784505,0.06851689699692384,0.07324806563328522,0.037726864553047045
full_bagnn,0,31,0.0001,0.07493434144264621,0.07919853271184886,0.04720110797967113,0.061344497631339534,0.06512152573571753,0.03676705490233452
full_bagnn,0,32,0.0001,0.07413234612627388,0.07832798973931106,0.04684471938698795,0.06830907451511774,0.07226530850072678,0.04255369571325801
