model,seed,epoch,lr,train_opt_loss_z,train_global_mse_z,train_airfoil_mse_z,val_opt_loss_z,val_global_mse_z,val_airfoil_mse_z
full_bagnn,2,1,0.0001,0.35574107530747395,0.36701342685099086,0.28244705111659635,0.19387960480111976,0.20626905953313654,0.11336400708461747
full_bagnn,2,2,0.0001,0.212766986705033,0.22221621805140637,0.15131641845325697,0.15610605681507372,0.16676432149523693,0.08683258070348963
full_bagnn,2,3,0.0001,0.18243771063875494,0.19179660248206606,0.12157298113685125,0.146154593313551,0.15503300338052745,0.08845299877374752
full_bagnn,2,4,0.0001,0.1615181730911802,0.17066516753910957,0.10203181063737865,0.1280973916915561,0.13811254447618201,0.06298888935968895
full_bagnn,2,5,0.0001,0.1465680123269899,0.15525651984086283,0.09006136462605524,0.12291282723683832,0.13270360120455107,0.05926655200426478
full_bagnn,2,6,0.0001,0.13902326327242187,0.14752102616052615,0.08375734059546831,0.15155557786911888,0.16671027617361123,0.053038644626665875
full_bagnn,2,7,0.0001,0.1278760630982,0.1355647087120264,0.07787187682071064,0.09718734893738418,0.10361816121396727,0.055355361513300345
full_bagnn,2,8,0.0001,0.12168001775128233,0.128988099740424,0.07415265507625955,0.1045715741799808,0.11245820102327587,0.053278711868764705
full_bagnn,2,9,0.0001,0.11440291235663777,0.12126838857283231,0.0697527759579705,0.09568384051959497,0.10285472045753198,0.04904110660177666
full_bagnn,2,10,0.0001,0.1101092986127626,0.11673967441266615,0.06698806170860798,0.09891651042491573,0.10635508861499,0.05053281441122819
full_bagnn,2,11,0.0001,0.10704203040742954,0.11335389784164987,0.06599228470225083,0.08718347453937547,0.09227497574924308,0.05407183374197572
full_bagnn,2,12,0.0001,0.10281893913892451,0.10898240339075918,0.06273408225994069,0.08228328807631446,0.08794358339153352,0.04548104490244667
full_bagnn,2,13,0.0001,0.10005167928925486,0.10603288200217383,0.06115237491143555,0.08883160517807709,0.09528561124021838,0.046859908072643716
full_bagnn,2,14,0.0001,0.09717774067198728,0.10279833124212102,0.060622011027450275,0.08118816039507977,0.0867973630030085,0.04470048438126164
full_bagnn,2,15,0.0001,0.09427915697031235,0.09993026090239217,0.05752486049384926,0.07756829539601055,0.08286145461718078,0.04313164980307719
full_bagnn,2,16,0.0001,0.09385136038527338,0.09950004295276449,0.05711460750182217,0.09750917942949949,0.10524756313783175,0.04716676415653344
full_bagnn,2,17,0.0001,0.09067641131488965,0.09598815481756415,0.05613065391377994,0.07377991199922718,0.07871533997416212,0.0416767116604309
full_bagnn,2,18,0.0001,0.08865670832456,0.0938156794323844,0.05510293847214437,0.07551742644148178,0.08039479484049439,0.04379743093191568
full_bagnn,2,19,0.0001,0.08689408477890903,0.09203900809359797,0.05343395279716905,0.07329385151768392,0.07809738306225956,0.04204729359693006
full_bagnn,2,20,0.0001,0.0853960964382204,0.0904242848999503,0.05269414407465455,0.07416770722843043,0.07885516658956855,0.043678974411131055
full_bagnn,2,21,0.0001,0.08450621712075455,0.08947863007140602,0.05216580252505082,0.06893762936562427,0.07300743627183741,0.04244689569756569
full_bagnn,2,22,0.0001,0.08290929929061569,0.08773067294222783,0.051552167396261825,0.06907226715322726,0.0738540906181899,0.0379559398200403
full_bagnn,2,23,0.0001,0.08232669105819722,0.08717412802695396,0.05080128710308671,0.06966327702504357,0.07446989820372865,0.03837231691611001
full_bagnn,2,24,0.0001,0.08081611633538428,0.08562304984920159,0.04955244500740543,0.06772467868208061,0.07244741106985075,0.0370146725298885
full_bagnn,2,25,0.0001,0.08005310148731701,0.0847799107999915,0.049310908868442124,0.07496268804514143,0.07969416534526147,0.04416951190675943
full_bagnn,2,26,0.0001,0.07841364728857933,0.0830406756711579,0.048319739445647124,0.06629807272875798,0.07077882814757547,0.03714889224613742
full_bagnn,2,27,0.0001,0.07746722817324952,0.08200080277788821,0.0479816366751966,0.06928950434287369,0.07323514853908515,0.04361734199953222
full_bagnn,2,28,0.0001,0.07599187571739763,0.08043804683663851,0.04707492966263406,0.0700977671141004,0.07526323117101706,0.036489177806597016
full_bagnn,2,29,0.0001,0.07536782367366432,0.07984008341944358,0.04628052257081462,0.06963161497908249,0.07411758432719497,0.040437756220724604
full_bagnn,2,30,0.0001,0.07469421563118556,0.07910759961358776,0.04599093173760899,0.0594325570928425,0.0632060884291616,0.034867065570295265
full_bagnn,2,31,0.0001,0.07424434156189766,0.07868013082628426,0.04539523886574489,0.0614088581158236,0.06518675561118356,0.03683055069802788
full_bagnn,2,32,0.0001,0.07295375231731858,0.0772655015517002,0.04490972634273638,0.06482060436967567,0.06947037730977103,0.0345398653692799
full_bagnn,2,33,0.0001,0.07313169827793672,0.07750802678690993,0.044669448554038635,0.0640978660455865,0.06837872996896141,0.036242732044840256
full_bagnn,2,34,0.0001,0.07117847838561692,0.07537984596087041,0.04385415057254869,0.06230961239343188,0.06674425339278138,0.03346085656847928
full_bagnn,2,35,0.0001,0.07202168905817051,0.07631003512934037,0.04413025361729108,0.06044345725781925,0.06473334020973216,0.03253443402465812
full_bagnn,2,36,0.0001,0.07056000291838734,0.07478463161157839,0.04308334706109661,0.058260929492771174,0.061980180242179335,0.03405515713037716
full_bagnn,2,37,0.0001,0.06930326156049055,0.07347728000169443,0.04215659145258084,0.06294948909821348,0.06786689075842672,0.030962316673484442
full_bagnn,2,38,0.0001,0.06911424790841915,0.07330100476329356,0.04188394619745519,0.05756329026706904,0.06153648150203816,0.03170658149161158
full_bagnn,2,39,0.0001,0.06816870584947676,0.0722582435172195,0.041571596319615677,0.0561715136282433,0.0597476034668174,0.03290597495386695
full_bagnn,2,40,0.0001,0.0690158146689113,0.07326296120195705,0.04139276293233092,0.05851956503986948,0.0628624669306905,0.030261949259187015
full_bagnn,2,41,0.0001,0.06694869658384525,0.07093663926813969,0.04101227610828079,0.06409971113497304,0.06895361838625039,0.0324956003950271
full_bagnn,2,42,0.0001,0.06787536860646501,0.07197873726791328,0.04118835589119889,0.0551626787341277,0.05906446105931218,0.029789611580195455
full_bagnn,2,43,0.0001,0.06684022768634948,0.07089922712484112,0.040441327403273844,0.054630213546217436,0.05843214376686671,0.029903353343127055
